id,puntaje,gpa,edad,asistencia,genero,estrato
54,52.32,2.1,20,83.2,Femenino,2
55,67.42,2.61,17,67.1,Femenino,1
56,44.16,1.74,21,68.9,Masculino,3
57,65.98,2.79,16,83.1,Femenino,5
58,39.69,1.93,20,83.6,Femenino,2
59,71.72,3.02,19,70.3,Femenino,5
60,65.51,2.59,19,65.6,Masculino,2
61,55.72,1.66,19,68.9,Masculino,3
62,50.14,1.94,23,73.1,Femenino,1
63,29.43,1.1,19,75.9,Femenino,3
64,39.34,1.51,24,85.5,Masculino,1
65,44.75,1.57,16,67.5,Femenino,2
66,12.89,0.35,16,60.1,Femenino,2
67,53.36,2.35,16,83.8,Masculino,5
68,52.27,2.25,21,85.1,Masculino,3
69,61.0,2.43,21,73.2,Femenino,2
70,35.09,1.57,20,78.0,Femenino,2
71,73.06,2.84,23,76.0,Femenino,6
72,51.2,2.34,19,74.9,Femenino,2
73,67.69,2.58,22,85.7,Femenino,2
74,68.29,2.66,17,77.9,Femenino,2
75,82.3,3.43,18,75.2,Masculino,6
76,56.68,2.19,21,63.8,Femenino,2
77,49.9,1.99,18,73.7,Masculino,3
78,63.08,2.35,19,80.4,Femenino,1
79,46.76,2.12,24,68.9,Masculino,1
80,47.25,1.84,16,69.0,Femenino,2
81,45.69,1.82,20,68.2,Masculino,2
82,60.0,2.15,19,73.7,Femenino,5
83,54.78,2.42,20,51.2,Femenino,1
84,60.82,2.13,20,73.3,Masculino,1
85,52.08,2.47,17,78.9,Femenino,4
86,59.49,2.41,21,61.4,Femenino,2
87,39.8,1.11,24,86.5,Femenino,5
88,47.46,1.99,21,72.2,Masculino,2
89,64.36,2.18,23,97.9,Femenino,2
90,50.34,2.2,19,98.1,Femenino,3
91,48.05,2.25,19,66.5,Femenino,3
92,42.96,1.51,21,77.0,Femenino,2
93,46.44,1.69,18,89.1,Masculino,3
94,38.73,1.56,22,68.5,Femenino,2
95,29.39,1.32,21,75.6,Masculino,3
96,45.85,2.0,21,77.3,Femenino,2
97,46.74,1.67,17,62.6,Masculino,4
98,27.24,0.95,19,75.2,Masculino,1
99,58.41,1.87,24,74.7,Femenino,3
100,42.49,1.51,16,83.9,Masculino,3
101,77.63,3.02,19,86.6,Femenino,4
102,30.91,1.32,16,83.0,Femenino,3
103,55.39,2.37,18,70.8,Femenino,3
104,66.34,2.78,24,62.8,Femenino,1
105,63.15,2.44,23,75.0,Masculino,2
106,38.3,1.35,21,72.5,Masculino,5
107,56.62,2.14,17,88.0,Femenino,3
108,54.5,2.09,16,73.8,Masculino,2
109,65.67,2.84,19,90.0,Femenino,4
110,58.51,2.47,22,83.9,Masculino,5
111,55.76,2.55,17,84.2,Femenino,2
112,69.14,2.95,19,75.7,Femenino,2
113,46.99,1.71,16,58.5,Masculino,2
114,59.31,2.16,16,78.7,Femenino,2
115,39.21,1.67,20,81.2,Masculino,4
116,48.55,1.89,16,71.3,Masculino,3
117,44.67,2.13,24,79.0,Masculino,2
118,70.31,2.86,19,86.9,Masculino,2
119,78.84,3.33,17,69.2,Masculino,4
120,34.46,1.45,20,65.4,Femenino,1
121,58.97,2.18,24,79.7,Masculino,4
122,47.04,1.77,24,83.0,Masculino,2
123,56.08,2.3,24,68.8,Masculino,2
124,39.95,1.16,17,100.0,Femenino,1
125,62.67,2.24,20,61.8,Femenino,5
126,57.29,2.58,22,67.9,Masculino,4
127,61.4,2.54,24,75.5,Masculino,2
128,29.42,0.79,16,80.7,Femenino,2
129,62.95,2.74,21,60.2,Femenino,1
130,49.06,1.4,19,90.7,Femenino,3
131,35.26,1.72,19,73.8,Femenino,2
132,60.68,2.76,23,77.6,Masculino,3
133,45.92,2.17,17,83.8,Femenino,2
134,74.07,3.12,24,80.0,Femenino,3
135,47.29,2.03,22,88.5,Femenino,5
136,58.45,2.16,19,84.4,Femenino,5
137,68.52,2.87,18,58.2,Masculino,4
138,51.0,1.9,24,62.5,Masculino,4
139,46.76,1.79,24,69.0,Femenino,3
140,78.44,2.84,22,74.1,Femenino,4
141,54.51,2.49,24,80.0,Femenino,3
142,55.69,2.16,18,62.0,Femenino,4
143,47.0,1.48,23,85.2,Femenino,3
144,41.14,1.49,17,85.5,Femenino,1
145,49.25,1.81,23,82.5,Masculino,3
146,51.28,2.05,22,61.6,Masculino,3
147,52.64,2.15,20,74.4,Femenino,4
148,39.96,1.36,23,63.9,Masculino,1
149,62.89,2.76,24,62.4,Femenino,2
150,34.18,1.51,21,83.5,Masculino,2
151,26.98,0.94,18,70.1,Femenino,3
152,63.73,2.49,24,90.9,Femenino,5
153,60.01,2.49,18,78.2,Femenino,5
154,37.88,1.61,24,70.4,Masculino,2
155,34.89,1.33,23,79.9,Masculino,2
156,68.88,2.7,22,63.7,Masculino,5
157,68.04,2.33,18,68.8,Masculino,5
158,43.29,1.77,19,69.8,Masculino,2
159,46.44,1.48,17,77.4,No binario,1
160,58.51,2.53,17,62.6,Masculino,3
161,33.16,1.26,23,74.2,Masculino,1
162,50.31,1.89,23,83.8,Masculino,1
163,70.65,3.19,18,79.8,Femenino,4
164,51.31,1.63,17,77.5,Femenino,1
165,62.83,2.31,16,68.1,Masculino,3
166,66.22,2.79,16,72.0,Femenino,3
167,53.85,2.26,16,75.9,Femenino,2
168,42.35,1.87,18,80.3,Femenino,1
169,58.04,2.41,16,88.8,Masculino,3
170,52.98,2.25,24,69.7,Masculino,1
171,48.99,1.78,22,61.5,Masculino,3
172,62.39,2.17,20,50.7,Masculino,6
173,55.06,1.86,19,85.0,Masculino,6
174,67.28,2.69,16,83.1,Femenino,3
175,38.56,1.52,23,73.6,Masculino,2
176,51.89,2.37,21,78.5,Masculino,5
177,47.39,1.74,22,87.7,Masculino,3
178,63.0,2.31,16,83.7,Masculino,3
179,73.62,3.19,21,61.7,Femenino,4
180,42.14,1.47,16,65.6,Femenino,2
181,48.36,1.96,20,54.5,Masculino,1
182,61.18,2.23,20,76.0,Femenino,1
183,40.71,1.45,22,78.6,Masculino,1
184,40.92,1.95,20,64.1,Femenino,4
185,59.66,2.01,17,69.7,Femenino,5
186,44.22,1.77,16,76.3,Masculino,2
187,59.2,2.53,22,81.6,Masculino,1
188,55.09,1.91,19,77.1,Femenino,1
189,80.54,3.09,19,68.6,Femenino,6
190,57.91,2.22,20,75.8,Femenino,5
191,34.99,1.18,17,88.0,Masculino,2
192,53.62,1.96,17,73.5,Femenino,3
193,67.2,3.01,22,73.2,Masculino,3
194,30.05,1.04,24,97.1,No binario,2
195,57.46,2.33,21,81.1,Masculino,4
196,71.19,2.79,18,71.0,No binario,2
197,48.21,2.03,18,72.6,Masculino,5
198,64.46,2.54,16,83.8,Masculino,3
199,37.29,1.15,20,97.0,Femenino,4
200,57.95,2.33,23,59.2,Femenino,3
201,61.31,2.51,17,82.3,Masculino,4
202,54.48,1.87,19,74.4,Masculino,3
203,61.64,2.37,24,67.4,Masculino,3
204,53.73,2.42,21,90.5,Masculino,2
205,62.36,2.79,20,56.8,Masculino,1
206,48.1,1.93,24,67.3,Femenino,3
207,66.13,2.55,22,89.4,Masculino,2
208,42.63,2.01,17,70.0,Femenino,6
209,78.24,2.76,17,81.8,Femenino,2
210,64.33,2.13,18,81.4,Masculino,2
211,66.36,2.69,19,64.0,Masculino,2
212,53.65,1.66,19,65.9,Masculino,2
213,45.26,1.87,21,67.9,Femenino,1
214,50.41,2.12,21,78.5,Femenino,3
215,74.88,3.13,19,77.1,Masculino,4
216,62.62,2.34,16,77.7,Masculino,2
217,59.13,2.76,16,82.0,Femenino,2
218,35.73,1.36,18,71.8,Masculino,1
219,50.86,1.64,22,55.3,Masculino,1
220,52.97,2.29,22,68.1,Masculino,2
221,50.05,2.03,18,75.4,Masculino,2
222,42.73,1.45,20,61.6,Masculino,1
223,45.11,1.97,17,78.7,Masculino,5
224,97.38,4.0,19,74.1,Femenino,6
225,57.79,2.14,23,76.0,Masculino,2
226,74.67,2.96,19,80.0,Femenino,4
227,31.2,0.9,19,74.8,Masculino,3
228,90.93,3.56,16,88.2,Masculino,5
229,34.24,1.32,22,96.4,Masculino,2
230,63.87,2.69,17,77.1,Masculino,4
231,53.88,2.2,18,80.8,Femenino,3
232,66.41,2.65,20,55.1,Femenino,4
233,62.54,2.5,23,77.2,Femenino,5
234,71.65,2.67,21,76.5,Masculino,4
235,34.88,1.65,16,82.7,Masculino,1
236,56.18,2.4,17,68.8,Femenino,4
237,52.91,1.67,16,69.4,Femenino,2
238,34.46,1.48,23,81.4,Masculino,3
239,30.17,1.22,22,68.4,Femenino,2
240,41.49,1.34,19,70.2,Masculino,2
241,57.85,2.57,17,80.0,Masculino,1
242,50.23,2.29,23,81.8,Masculino,1
243,74.53,2.72,19,74.7,Masculino,2
244,81.92,2.82,19,78.6,Femenino,4
245,46.52,2.23,23,57.4,Femenino,3
246,53.69,2.04,24,71.5,Femenino,2
247,39.64,1.66,18,54.9,Femenino,1
248,57.87,2.01,18,70.2,Masculino,3
249,54.08,2.38,23,67.4,Femenino,4
250,37.46,1.69,16,63.2,Femenino,3
251,42.15,1.59,19,72.6,Masculino,2
252,70.86,3.07,17,77.7,Femenino,6
253,49.05,1.86,19,71.3,Femenino,3
254,38.26,1.4,19,68.9,Femenino,2
255,75.07,2.99,18,56.6,Masculino,3
256,78.16,3.13,23,56.8,Femenino,3
257,54.68,2.31,22,64.1,Femenino,4
258,76.8,3.07,20,69.1,Masculino,6
259,64.19,2.49,21,81.3,Masculino,2
260,56.0,2.16,22,75.1,Masculino,2
261,30.11,1.56,21,75.2,Femenino,2
262,53.19,2.15,23,71.3,Masculino,3
263,57.53,2.24,20,75.8,No binario,1
264,52.44,1.81,16,54.5,Masculino,3
265,71.84,2.62,22,83.0,Masculino,2
266,50.93,2.24,21,77.0,Masculino,2
267,54.87,2.43,20,61.4,Masculino,3
268,48.06,1.88,18,59.1,Femenino,4
269,53.35,2.18,24,58.9,Masculino,3
270,65.39,2.67,19,81.0,Masculino,6
271,54.58,2.07,24,67.4,Masculino,3
272,66.77,2.79,21,74.8,Femenino,4
273,67.92,2.83,20,55.3,Femenino,1
274,67.18,3.06,19,76.1,Femenino,2
275,77.86,3.12,19,72.1,Masculino,5
276,54.67,2.27,16,68.1,Masculino,3
277,31.22,1.55,16,69.2,Masculino,3
278,34.6,1.35,22,77.2,Femenino,1
279,51.16,2.28,17,79.1,Masculino,5
280,49.6,1.75,24,64.8,Femenino,1
281,34.1,1.52,22,52.9,Masculino,2
282,58.22,2.38,22,94.4,Masculino,2
283,45.56,2.09,18,63.6,Femenino,1
284,59.77,2.07,17,72.1,Femenino,2
285,72.99,2.89,20,77.0,Masculino,3
286,44.34,1.81,18,75.7,Femenino,4
287,56.69,2.65,19,79.8,Femenino,2
288,36.76,1.53,24,86.5,Femenino,3
289,50.39,2.04,16,73.8,Femenino,3
290,63.84,2.2,21,70.1,Masculino,5
291,53.41,2.37,24,88.6,Masculino,3
292,32.93,1.18,20,97.8,Femenino,1
293,54.35,2.13,22,80.6,Masculino,2
294,51.89,2.32,20,75.4,Femenino,2
295,43.59,1.69,17,67.1,Masculino,2
296,56.0,2.5,17,84.9,Masculino,3
297,62.65,2.56,22,66.9,Femenino,3
298,75.99,3.27,19,89.8,Masculino,3
299,46.5,1.84,18,82.8,Femenino,1
300,60.78,2.92,21,76.4,Masculino,4
301,32.72,1.01,22,84.9,Masculino,4
302,53.7,2.25,20,71.0,Masculino,3
303,63.41,2.47,23,63.5,Masculino,6
304,61.34,2.66,21,70.7,Femenino,1
305,47.95,2.07,23,81.3,Masculino,1
306,64.93,2.54,21,76.0,No binario,3
307,39.94,1.61,22,74.1,Femenino,3
308,65.75,2.87,18,76.8,Femenino,3
309,73.09,3.06,20,62.1,Femenino,2
310,54.16,2.12,22,68.3,Masculino,3
311,45.09,1.86,21,85.2,Femenino,2
312,69.74,2.73,17,73.3,Masculino,3
313,60.94,2.88,16,86.5,Femenino,5
314,75.82,3.27,17,75.5,Masculino,4
315,70.6,2.47,18,75.7,Femenino,3
316,45.35,1.76,24,77.3,Femenino,1
317,60.65,2.34,16,74.9,Masculino,2
318,39.87,1.64,17,79.4,Masculino,1
319,23.78,1.0,22,80.1,Femenino,3
320,42.1,1.5,19,73.9,Femenino,2
321,50.7,2.04,24,63.0,Masculino,5
322,39.18,1.9,17,90.2,Femenino,3
323,28.83,1.27,24,75.4,Femenino,3
324,55.1,2.17,19,71.7,Femenino,3
325,58.28,2.2,19,54.0,Masculino,1
326,63.25,2.27,18,76.1,Femenino,1
327,53.5,1.8,17,69.6,Femenino,3
328,49.3,1.88,19,85.0,Masculino,6
329,61.93,2.4,23,86.6,Masculino,2
330,49.93,1.78,23,72.3,Femenino,2
331,50.42,1.98,20,87.8,Femenino,4
332,62.33,2.54,19,75.3,Femenino,5
333,61.97,2.33,16,100.0,Masculino,4
334,48.3,2.03,18,76.6,Femenino,4
335,57.46,2.25,22,71.4,Masculino,4
336,45.06,1.83,24,89.8,Masculino,4
337,48.8,1.82,22,64.8,Femenino,3
338,38.58,1.36,17,69.4,Femenino,3
339,57.67,2.02,19,73.5,Masculino,2
340,65.93,2.52,21,85.6,Femenino,3
341,58.14,2.17,17,80.4,Masculino,3
342,60.59,2.26,17,82.0,Masculino,1
343,38.03,1.55,22,63.7,Femenino,3
344,65.48,2.84,22,66.7,Femenino,2
345,42.97,1.9,18,84.5,Masculino,1
346,62.58,2.15,19,78.4,Masculino,3
347,52.07,2.05,16,73.4,Masculino,2
348,55.43,2.24,21,80.8,Femenino,2
349,61.11,2.64,18,77.6,Femenino,3
350,59.99,2.41,17,84.3,Masculino,2
351,69.72,2.78,17,73.0,Femenino,3
352,47.08,2.05,21,71.8,Masculino,6
353,46.44,1.87,19,79.8,Femenino,1
354,34.75,1.57,23,77.2,Masculino,2
355,46.24,1.76,21,68.4,Masculino,2
356,50.8,2.4,24,69.7,Femenino,1
357,53.81,2.21,21,76.4,Femenino,1
358,75.52,2.99,16,84.2,Femenino,3
359,57.04,2.42,19,82.2,Femenino,3
360,58.81,2.09,16,72.2,Femenino,4
361,50.98,1.91,18,60.8,Masculino,3
362,40.28,1.75,17,87.8,Femenino,2
363,40.6,1.41,22,67.1,Femenino,2
364,67.35,2.71,22,80.5,Masculino,4
365,73.1,2.99,22,78.3,Femenino,6
366,60.08,2.25,16,79.2,Masculino,2
367,60.02,2.22,18,71.4,Masculino,1
368,50.58,1.85,16,75.9,Masculino,1
369,55.24,1.98,24,86.2,Masculino,2
370,29.0,1.41,18,94.5,Femenino,2
371,67.23,2.87,18,50.2,Masculino,5
372,61.09,2.34,17,71.1,Femenino,3
373,48.39,1.7,22,81.8,Femenino,2
374,60.37,2.23,22,84.2,Masculino,3
375,63.33,2.57,23,70.7,Masculino,3
376,54.43,2.05,19,78.1,Femenino,1
377,58.53,2.71,19,61.8,Masculino,6
378,35.17,0.81,21,80.6,Femenino,3
379,48.0,1.64,18,68.5,Femenino,3
380,50.09,1.86,23,88.3,Masculino,4
381,57.25,2.38,21,66.9,Masculino,3
382,36.89,1.96,17,89.9,Masculino,2
383,34.48,1.32,23,72.6,Masculino,4
384,46.9,1.81,19,65.3,Masculino,3
385,44.84,1.6,24,76.2,Femenino,4
386,61.57,2.45,18,87.7,Femenino,2
387,43.2,1.74,22,65.0,Femenino,5
388,60.13,2.5,19,81.4,Masculino,3
389,46.69,1.58,21,71.3,Masculino,5
390,58.31,2.18,16,74.6,Femenino,2
391,69.87,2.85,24,89.3,Femenino,4
392,63.36,2.59,21,64.6,Masculino,4
393,47.37,2.07,19,95.4,Femenino,1
394,47.89,2.02,19,76.5,Masculino,3
395,48.35,1.78,23,63.2,Femenino,2
396,53.75,2.04,18,72.8,Femenino,1
397,56.66,2.14,24,89.2,Femenino,1
398,48.01,1.84,20,78.5,Femenino,1
399,76.82,2.89,17,69.9,Femenino,4
400,41.38,1.59,21,74.6,Masculino,5
401,34.07,1.71,16,72.8,Femenino,2
402,37.49,1.49,18,81.7,Masculino,4
403,27.56,1.13,22,84.3,Masculino,1
404,56.96,2.64,24,75.4,Masculino,3
405,56.89,2.33,24,65.1,Masculino,5
406,55.91,2.38,19,64.7,Masculino,6
407,43.4,1.82,19,70.1,Masculino,6
408,61.29,2.45,24,82.8,Femenino,4
409,48.81,1.72,19,64.4,Masculino,2
410,48.11,1.74,22,97.4,Femenino,2
411,43.11,1.91,23,74.7,Femenino,1
412,42.93,1.62,20,86.1,Femenino,1
413,66.56,2.7,20,84.4,Masculino,1
414,68.48,2.72,23,82.0,Femenino,4
415,69.9,2.81,23,67.1,Masculino,1
416,66.56,2.57,16,82.3,Masculino,3
417,50.16,2.19,20,87.7,Masculino,4
418,69.88,2.49,20,61.3,Masculino,3
419,71.52,2.86,24,71.4,Femenino,3
420,58.15,2.28,20,85.1,Femenino,1
421,56.9,2.61,16,60.7,Masculino,1
422,67.1,2.48,23,71.5,Masculino,3
423,69.1,2.93,20,74.9,Femenino,3
424,48.1,1.65,23,72.5,Masculino,3
425,65.67,2.33,16,73.7,Masculino,1
426,70.11,2.77,17,63.1,Femenino,5
427,63.11,2.4,23,71.2,Femenino,5
428,53.23,2.36,24,85.2,Femenino,3
429,40.12,1.82,16,60.0,Masculino,4
430,55.8,2.12,24,73.8,Femenino,1
431,44.86,1.76,21,79.2,Masculino,2
432,58.68,2.36,19,71.9,Masculino,4
433,38.32,1.48,18,65.4,Femenino,3
434,53.64,2.45,24,68.0,Masculino,2
435,51.59,2.02,18,70.1,Femenino,4
436,27.97,1.07,20,72.7,Masculino,5
437,47.9,2.1,16,83.6,Masculino,2
438,55.46,2.25,23,79.2,Femenino,4
439,69.72,2.52,16,74.3,Masculino,5
440,56.56,2.68,22,84.6,Femenino,2
441,61.58,2.76,24,73.1,Masculino,3
442,53.21,2.22,22,87.8,Femenino,4
443,43.47,1.35,21,89.1,Masculino,3
444,58.36,2.29,20,82.2,Masculino,5
445,63.41,2.5,16,99.4,Femenino,1
446,62.11,2.42,23,72.9,Masculino,4
447,58.78,2.34,23,65.8,Femenino,5
448,43.0,1.8,18,83.6,Masculino,1
449,68.48,2.45,24,85.2,Masculino,3
450,74.56,3.48,16,89.9,Femenino,3
451,60.52,2.76,21,71.6,Femenino,1
452,41.0,1.59,18,75.8,Masculino,1
453,39.28,1.7,24,85.6,Masculino,1
454,51.69,2.23,19,75.4,Femenino,5
455,57.64,2.34,17,84.6,Masculino,1
456,69.12,2.67,16,70.6,Masculino,5
457,53.67,1.7,23,63.2,Femenino,3
458,42.27,1.56,23,68.0,Femenino,3
459,41.93,1.63,20,63.1,Femenino,3
460,49.87,2.15,20,71.4,Masculino,4
461,63.41,2.77,16,79.0,Femenino,3
462,48.78,1.82,18,60.0,Femenino,2
463,61.53,2.57,20,86.2,Femenino,5
464,75.92,2.9,24,67.0,Masculino,4
465,44.44,1.88,16,63.2,No binario,2
466,72.99,2.95,23,70.9,Masculino,2
467,66.85,2.71,20,81.0,Femenino,2
468,62.94,2.74,20,76.5,Masculino,5
469,76.6,3.21,21,60.5,Masculino,2
470,32.39,1.61,23,70.0,Masculino,3
471,50.43,1.96,18,87.6,Femenino,1
472,55.13,2.6,18,74.2,Femenino,2
473,62.83,2.61,21,92.6,Masculino,4
474,55.15,2.17,22,86.2,Femenino,3
475,41.92,1.4,17,79.8,Masculino,2
476,77.28,2.96,24,84.2,Femenino,5
477,55.15,2.05,17,80.8,Masculino,1
478,73.98,3.02,24,77.2,Masculino,3
479,65.41,2.8,18,68.7,Femenino,4
480,59.15,2.21,16,72.4,Masculino,6
481,19.75,0.91,20,79.7,Masculino,1
482,54.49,2.46,21,54.7,Femenino,3
483,57.79,2.13,20,72.6,Masculino,3
484,42.26,1.88,22,72.7,Masculino,3
485,57.33,1.84,23,77.3,Femenino,3
486,45.3,2.03,16,75.7,Masculino,3
487,61.84,2.77,16,82.8,Femenino,4
488,45.54,2.02,21,80.9,Masculino,3
489,66.38,2.37,19,74.9,Masculino,1
490,51.85,2.28,17,73.7,Masculino,2
491,64.13,2.56,20,84.4,Masculino,3
492,56.15,2.29,23,79.6,Femenino,6
493,53.48,2.23,21,75.8,Masculino,4
494,72.27,2.81,24,71.8,Femenino,6
495,50.47,2.18,24,72.7,Femenino,4
496,53.04,2.09,18,75.8,Masculino,3
497,52.69,2.12,22,71.4,Masculino,5
498,35.98,1.4,22,67.7,Femenino,3
499,61.4,2.41,17,73.4,Femenino,4
500,63.25,2.36,22,81.7,Masculino,3
501,58.55,2.59,21,60.6,Femenino,6
502,76.12,3.12,17,87.3,No binario,2
503,52.19,2.09,21,66.1,Femenino,1
504,54.33,2.0,23,63.1,Masculino,3
505,39.31,1.33,24,71.7,Femenino,4
506,41.75,1.78,24,73.3,Masculino,3
507,60.01,2.39,21,74.9,Masculino,3
508,62.72,2.51,19,62.2,Masculino,3
509,58.39,2.45,24,61.1,Masculino,3
510,43.71,1.78,16,91.5,Masculino,4
511,29.25,1.42,18,68.6,Masculino,3
512,53.93,1.99,24,65.1,Femenino,4
513,73.09,2.92,19,69.2,Masculino,3
514,70.44,2.89,22,74.8,Femenino,6
515,55.12,1.97,21,89.9,Femenino,2
516,57.38,2.7,21,61.6,Masculino,1
517,54.96,2.1,23,72.7,Femenino,3
518,31.49,1.06,22,48.4,Femenino,3
519,57.95,2.23,23,76.8,Masculino,2
520,52.49,1.62,17,78.2,Femenino,3
521,20.85,0.96,24,61.8,Femenino,1
522,57.59,2.24,22,82.6,Femenino,1
523,25.58,1.02,23,73.7,Masculino,3
524,61.92,2.33,17,73.1,Femenino,4
525,52.38,2.33,21,86.4,Masculino,4
526,44.66,1.73,16,82.7,No binario,2
527,44.02,1.55,19,77.4,Masculino,2
528,57.55,2.64,20,86.3,Masculino,3
529,60.87,2.4,18,80.1,Femenino,3
530,73.41,2.86,19,77.1,Masculino,2
531,63.1,2.67,24,85.1,No binario,2
532,66.55,2.65,16,67.0,Masculino,2
533,40.52,1.33,18,89.1,Femenino,3
534,50.32,2.36,19,78.0,Masculino,3
535,53.87,2.35,18,49.0,Femenino,3
536,46.04,1.71,22,74.9,Masculino,2
537,51.23,2.21,16,67.1,Masculino,3
538,68.75,2.9,22,72.8,Femenino,2
539,64.21,2.47,21,89.1,Femenino,3
540,72.68,2.89,20,77.6,Masculino,4
541,55.57,2.3,20,99.1,Femenino,2
542,45.1,1.79,16,68.8,Femenino,2
543,63.39,2.61,16,74.7,Femenino,5
544,64.56,2.14,21,78.2,Femenino,3
545,56.96,2.01,24,85.7,Masculino,4
546,78.44,3.24,17,76.3,Femenino,3
547,69.72,2.96,18,83.6,Femenino,2
548,55.2,2.03,21,64.3,Masculino,2
549,57.9,2.66,20,80.2,Masculino,3
550,67.18,2.57,21,96.4,Femenino,2
551,74.56,3.21,16,82.8,Masculino,6
552,68.97,3.08,21,76.3,Femenino,3
553,36.38,1.46,23,74.9,Masculino,4
554,21.36,0.62,20,88.6,Femenino,1
555,53.28,2.25,16,75.8,No binario,3
556,59.19,2.18,19,82.4,Masculino,5
557,35.8,1.1,19,72.8,Masculino,3
558,67.58,2.71,20,75.0,Masculino,3
559,51.78,2.38,24,73.1,Femenino,3
560,53.37,2.27,22,70.8,Masculino,3
561,45.7,1.92,24,76.3,Femenino,3
562,42.77,1.8,16,86.2,Masculino,3
563,59.11,2.05,21,68.0,Masculino,2
564,57.21,1.91,19,79.8,Femenino,4
565,49.42,1.9,23,82.2,Masculino,2
566,46.23,1.92,21,92.9,Femenino,2
567,61.25,2.61,16,71.9,Masculino,3
568,58.37,2.59,20,50.3,Masculino,2
569,38.53,1.38,20,65.0,Femenino,3
570,55.53,2.02,20,88.1,Masculino,3
571,28.27,0.88,19,69.6,Masculino,2
572,56.38,2.03,20,71.9,Masculino,2
573,56.17,2.19,21,57.7,Masculino,2
574,57.09,2.35,16,81.2,Masculino,3
575,27.97,0.83,16,73.5,Masculino,1
576,28.45,1.08,16,59.6,Masculino,4
577,37.33,1.58,19,84.7,Masculino,1
578,60.7,2.3,21,70.0,Femenino,6
579,33.17,1.38,17,65.4,Masculino,1
580,35.29,1.37,17,72.4,Femenino,2
581,68.12,3.04,20,80.5,Masculino,6
582,27.91,1.06,20,72.4,Masculino,2
583,77.26,3.0,17,59.8,Masculino,3
584,65.53,2.43,23,69.6,Masculino,3
585,67.0,2.68,22,90.9,Masculino,4
586,59.23,2.25,17,72.5,Femenino,2
587,49.78,1.96,24,67.1,Masculino,3
588,55.55,2.49,19,95.4,No binario,3
589,60.38,2.04,21,74.3,Masculino,5
590,73.35,3.02,17,79.4,Femenino,1
591,56.38,2.2,18,72.0,Masculino,3
592,55.7,2.23,19,83.7,Femenino,3
593,47.45,1.78,16,75.5,Masculino,3
594,66.26,2.44,23,66.0,Masculino,5
595,65.12,2.64,16,86.0,Masculino,3
596,42.16,1.74,19,79.3,Femenino,4
597,69.06,2.56,24,75.7,Masculino,2
598,42.03,1.47,16,76.4,Masculino,2
599,49.19,1.89,21,72.8,Femenino,3
600,48.54,2.02,24,74.5,Masculino,3
601,59.05,2.25,23,72.8,Masculino,3
602,66.31,2.57,21,70.3,Femenino,1
603,49.84,2.13,17,55.5,Masculino,2
604,52.77,2.33,16,84.0,Femenino,2
605,72.72,2.86,24,61.3,Masculino,6
606,84.89,3.3,23,73.4,Femenino,3
607,81.83,2.86,18,90.0,Masculino,3
